,sentence_id,en,ru
599,1573534:2,but ive heard a lot about this for the past 2 yrs and finally decided to eat here.,"но за последние два года я много слышал об этом, и наконец решил пообедать здесь."
600,1573534:3,I am happy i did the food was awsome.,"Я рада, что я ем слишком много."
601,1573534:4,JUST AWSOME.,Это ужасно.
602,1573534:5,and yes Dal Bukhara is so dam good and so are all the kababs.,"Да, долбухара и все Кабба в порядке."
603,1573534:6,They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,"Они открыли еще два места, и я видел листовку, одну в янксе, одну в холле и банкете, и другую в Паси - пани, штат Нью - Джерси."
604,1573534:7,but overall i give it a 10,но в целом я играю 10 очков
605,1573534:8,10,10
606,1577714:0,I haven't been to the other locations.,Я нигде не был.
607,1577714:1,Haru on Park S is simply disgusting.,Хару в парке отвратительно.
608,1577714:2,The fish was not fresh and the rice tasted old and stale.,"рыба не новая, рис же старый и не свежий."
609,1577714:3,"Quite frankly, this is some of the worst sushi I have ever tried.","честно говоря, это худшее суши, которое я когда - либо ел."
610,1577714:4,Will never be back.,больше не вернусь.
611,1586174:0,honestly the worst sushi my husband and i had in our entire lives.,"честно говоря, это худшее суши, которое я ел в жизни с мужем."
612,1586174:1,"believe us, we've been eating sushi for over 15 yrs.","Поверь нам, мы уже 15 лет едим суши."
613,1586174:2,not sure why this restaurant would be rated that highly.,"Интересно, почему этот ресторан так высоко ценится."
614,1586174:3,the all-u-can-eat sushi is definitely in very poor quality.,Все съедобные суши определенно плохого качества.
615,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ","меню ограничено, не так свежие пищевые продукты, рыбки, ломтики."
616,1586174:5,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ","на вкус всего лишь очень соленый соевый соус (или даже низконатриевый), уксусный рис с рисом и рыбный лук."
617,1586174:6,the waitstaffs are nice though.,но официант в порядке.
618,1586174:7,wont come back again for sure!,больше никогда!
619,1603698:0,I have been to Roth's twice and both times were very disappointing.,Я был у семьи Россов дважды и дважды был очень разочарован.
620,1603698:1,Once for dinner and once for brunch.,"Один ужин, другой ранний завтрак."
621,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.","В обоих случаях я очень разочарован сервисом, это очень грубо."
622,1603698:3,They wouldnt even let me finish my glass of wine before offering another.,Они даже не дают мне выпить еще.
623,1603698:4,Much of the time it seems like they do not care about you.,часто они кажутся безразличными к тебе.
624,1603698:5,"The dinner was ok, nothing I would have again.","ужин прошел хорошо, я больше не хочу есть."
625,1603698:6,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","Я съел их на утреннем обеде, беннидикетт, и это был худший раз в моей жизни, и я попытался полностью удалить голландский соус, и это закончилось неудачей."
626,1606837:0,This was a great surprise.,какой приятный сюрприз.
627,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,в двух кварталах от театра мы ели Восхитительный ужин в красивой комнате.
628,1606837:2,The service was attentive.,хорошее обслуживание.
629,1606837:3,I look forward to eating here again,Я с нетерпением жду обеда здесь
630,1609375:0,Planet Thai is great!,Тайская планета великолепна!
631,1609375:1,"We love the food, drinks, and atmosphere!","Нам здесь нравится еда, напитки и атмосфера!"
632,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","Svc иногда бывает немного грубым, особенно если у вас много людей, но вообще ресторан необходим!"
633,1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!","Попробуйте тайский лад, это здорово, и их цена тоже дешёвая!"
634,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!","только потому, что он дешевый, не значит, что он мало весит или плохо ест, это здорово!"
635,1609375:5,"Just remember, the later you go, the longer you may have to wait.","Помни, чем позже ты уйдешь, тем дольше ты ждешь."
636,1609375:6,It's popular w/the late crowd.,Это очень популярно среди умерших.
637,1611489:0,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.","Они забыли взять с собой сэндвичи, не считая пластиковых вилок, и не считая орешек."
638,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",сэндвич на 7 баксов тоже не понравился.
639,1611489:2,"Overall, not worth the money.","В общем, это не стоит денег."
640,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","ужин дома, атмосфера хорошая, но на вашем столе это был очень разочаровывающий опыт."
641,1615322:0,I love Indian food and consider myself to be quite an expert on it.,Я люблю индийскую кухню и считаю себя специалистом в этой области.
642,1615322:1,Chennai Garden is my favorite Indian restaurant in the city.,киннайский сад - мой любимый индийский ресторан.
643,1615322:2,They have authentic Indian at amazin prices.,"у них есть порядочная индийская кухня, цена удивительная."
644,1615322:3,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,"в этом ресторане вегетарианцы, а не мясные блюда."
645,1615322:4,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"если ты будешь сидеть на деревянной скамейке и прижиматься к стене, место будет неудобным."
646,1615322:5,It's a rather cramped and busy restaurant and it closes early.,"Это довольно переполненный и загруженный ресторан, который давно закрыт."
647,1623276:0,Patroon features a nice cigar bar and has great staff.,У патрона отличный бар сигар и отличный работник.
648,1623276:1,The food is tasty and portion sizes are appropriate.,"еда вкусная, но в меру."
649,1623276:2,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"если вы хотите найти хорошее место для интимных вечеринок с деловыми партнерами, это хороший ресторан."
650,1623276:3,Not a great place for family or general dining.,не лучшее место для семьи или общего питания.
651,1626564:0,LLOOVVE THIS PLACE.,Я люблю это место.
652,1626564:1,Food is excellent.,еда очень вкусная.
653,1626564:2,Fish is so very fresh.,рыба свежая.
654,1626564:3,Waitstaff are very friendly.,официант очень дружелюбный.
655,1626564:4,Love YUKA.,Люблю Юку.
656,1632445:0,Mermaid Inn is an overall good restaurant with really good seafood.,"отель ""русалка"" в целом хороший ресторан с очень хорошей морепродуктами."
657,1632445:1,The menu is limited but almost all of the dishes are excellent.,"меню ограничено, но почти все блюда хороши."
658,1632445:2,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,"бутерброд с омарами хорош, а спагетти с веером и креветками тоже неплохо."
659,1632445:3,The service is good and ambience is good for a date or group outing.,"обслуживание хорошее, окружающая среда тоже подходит для свиданий или групповых поездок."
660,1632445:4,The only fallback on this restaurant is the prices.,единственный выход из этого ресторана - это цена.
661,1632445:5,"Even though its good seafood, the prices are too high.","Хотя морепродукты хороши, но цена слишком высокая."
662,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"сэндвич с омарами стоит 24 доллара, хотя и очень хорошо, но этого недостаточно для того, чтобы гарантировать цену."
663,1632929:0,Went to Village last night for my birthday.,вчера вечером ходил в деревню на день рождения.
664,1632929:1,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.","Мы случайно выбрали его, и никто не рекомендовал, так что мы не знаем, что будет."
665,1632929:2,We were very pleasantly surprised.,мы очень удивились.
666,1632929:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.","еда очень вкусная (у меня есть камбала специфическая цена, у моего мужа бифштекс), и обслуживание отличное."
667,1632929:4,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","когда я прихожу на десерт, внутри свеча - не потому, что кто - то хочет, а потому, что официант обязательно увидит, что я открываю поздравительные открытки и подарки, и говорит, что знает, что это какой - то особый случай."
668,1632929:5,Truly the mark of an attentive waiter.,Это действительно знак заботливого официанта.
669,1632929:6,I highly recommend the restaurant based on our experience last night.,"Основываясь на нашем вчерашнем опыте, я настоятельно рекомендую этот ресторан."
670,1642666:0,We ate at this Thai place following the reviews but very unhappy with the foods.,"Мы провели небольшой обзор в этом тайском ресторане, но не очень довольны едой."
671,1642666:1,We thought that this place is using too much of MSG cooking in the foods.,"Мы думаем, что это место использует слишком много вкуса в еде."
672,1642666:2,Why?,Но почему?
673,1642666:3,"They don't concern much of customer's health, just want to make money.","Они не заботятся о здоровье клиентов, они просто хотят заработать деньги."
674,1642666:4,please don't fool us.,не лги нам.
675,1649025:0,I visit New Green Bo when I have money or when I am broke.,"когда у меня будут деньги или банкротство, я поеду в Нью - гринбо."
676,1649025:1,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.","Я рекомендую медузу, пьяную курицу и бульон, конечно, есть жареные крабы."
677,1649025:2,The food is so cheap and the waiters are nice.,"еда дешевая, и официант в порядке."
678,1649025:3,"Of course, it is crowded but who cares.","Конечно, здесь много народу, но кого это волнует."
679,1649025:4,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,Я не могу рекомендовать лучший шанхай в Нью - Йорке.
680,1655504:0,Have frequented 'ino for several years and the food remains excellent.,"Я много лет посещал иноно, и еда все еще хороша."
681,1655504:1,Cheese plate is a varied delight and great bargain at $10.,сырные тарелки - это разные развлечения и большие дешевые 10 долларов.
682,1655504:2,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","большое количество образцов брюшчат, панини, трамецзини, чтобы ваши вкусы не остановились."
683,1655504:3,"(The asparagus, truffle oil, parmesan bruschetta is a winner!)","(спаржа, трюфель, Парма - сыр победитель!)"
684,1655504:4,Wine list is extensive without being over-priced.,"алкоголь богатый, цена не дорогая."
685,1655504:5,"Be sure to try the seasonal, and always delicious, specials.","обязательно попробовать сезонное, и всегда вкусное блюдо."
686,1655504:6,Definitely a neighborhood favorite.,Это точно любимая соседка.
687,1655521:0,I loved this place!!,Мне нравится это место!
688,1655521:1,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"Я едва могу писать комментарии, потому что атмосфера здесь слишком хорошая, и я не хочу, чтобы она становилась переполненной."
689,1655521:2,"The food was very good, a great deal, and the place its self was great.","еда хорошая, много и место хорошее."
690,1655521:3,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.","Официанты очень вежливы, они заставляют людей думать, что ты обедаешь в незнакомом европейском городе."
691,1660047:0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!","Я люблю черный кофе, не пойми меня неправильно, но люди, работающие там, злые и некомпетентные!"
692,1660047:1,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.","служба настолько плоха, что мы должны ждать всего, и требовать, чтобы несколько разных людей сделали то же самое, прежде чем позволить нам быть на службе."
693,1660047:2,"The waitress, seems to be more concerned of looking good than actually waitressing.","официантки, кажется, больше заботятся о красоте, чем о настоящих официантах."
694,1660047:3,"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.","после ужина менеджер схватил моего парня и спросил его: откуда ты приехал... может быть, ты не знаешь, как обстоит дело в Америке... и наконец, он почти плакал и кричал чаевые - единственное, что они могут пережить."
695,1660047:4,"We did tip, I guess the model/waitress just wanted more and complained to the manager.","мы даём чаевые, я думаю, модели / официантки просто хотят больше чаевых и жаловаться менеджеру."
696,1660047:5,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.","все настройки очень непрофессиональны, и я надеюсь, что в кафе ""Блэк"" будет хороший работник, потому что, несмотря на то, что сейчас это хорошее место."
697,1661043:0,Pizza here is consistently good.,Здесь всегда вкусная пицца.
698,1661043:1,Salads are a delicious way to begin the meal.,салат - хороший способ приготовить обед.
699,1661043:2,You should pass on the calamari.,Ты должен был пропустить кальмара.
700,1661043:3,It is thick and slightly soggy.,он толстый и немного мокрый.
701,1661043:4,Decor is charming.,декорация очаровательна.
702,1661043:5,Service is average.,служба генерала.
703,1661757:0,What a great place.,хорошее место.
704,1661757:1,I came into the city to try out this restaurant because a friend had recommended it to my husband.,"Я приехал в город, чтобы попробовать этот ресторан, потому что друг предложил моему мужу этот ресторан."
705,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","обстановка здесь интересная, цена высокая, а еда очень вкусная."
706,1661757:3,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.","Я не хочу ждать 30 минут в интернете, но я думаю, что это та цена, которую ты заплатил за популярное место."
707,1661757:4,I would definitely recommend SEA if you like thai cuisine!,"если вам нравится тайская кухня, я абсолютно рекомендую морепродукты!"
708,1662726:0,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,"несколько недель назад я был здесь, и у нас был худший опыт обслуживания клиентов в ресторане."
709,1662726:1,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.","один джентльмен, может быть, менеджер, приходит к нам за стол и не заказывает нам еды ни с улыбкой, ни с приветствием."
710,1662726:2,"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently ","на вопрос о том, как готовят то или иное блюдо по сравнению с аналогичным блюдом в других тайских ресторанах, он ответил, что это не Макдоналдс и что практика в каждом месте различна"
711,1662726:3,"While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.","Хотя в каждом месте все по - другому, это понятно, но не обязательно быть невежливым и грубым к клиентам."
712,1662726:4,"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.","Обслуживание плохое, ресторан плохо освещен, персонал не очень внимательный, я предпочел бы поесть в макдоналдсе или в этом ресторане."
713,1662726:5,Never again!,Больше нет.
714,1663111:0,I absolutely Loved this place.,Мне очень нравится это место.
715,1663111:1,"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.","Мои друзья разговаривали несколько месяцев, и я, наконец, нашел время поужинать."
716,1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.","атмосфера великолепная, блюда вкусные, обслуживание теплое."
717,1663111:3,this is can became on e of the NY Italian Food fare institutions.,"это итальянское ресторанное агентство, которое может быть Нью - Йоркским кварталом e."
718,1663111:4,I think that it is absolutely brilliant and well runned business operation.,"Я считаю, что это совершенно замечательная и хорошо функционирующая коммерческая деятельность."
719,1663111:5,The wine list is also really nice.,вино тоже неплохо.
720,1664346:0,A friend from Seattle and I went on a Thursday night around 8:30.,Мы с другом из Сиэтла ездили в четверг около 8: 30.
721,1664346:1,"Everything was wonderful; food, drinks, staff, mileau.","Все в порядке, еда, напитки, работники, Майло."
722,1664346:2,I would highly recommend this place!,Я настоятельно рекомендую это место!
723,1671113:0,I have been to Casimir over 5 times and I have always had a great time there.,"Я был в касимире 5 раз, и там я всегда был очень рад."
724,1671113:1,The food is great and reasonably priced.,еда хорошая и недорогая.
725,1671113:2,"I have tried to make reservations, but both times, the hostess didn't have my name.","Я пыталась забронировать номер, но дважды без моего имени."
726,1671113:3,"If the weather is nice, try to snag an outside table.","Если погода хорошая, попробуйте найти столик на улице."
727,1671113:4,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","персонал очень хороший, но они выглядят стрессовыми, а мужские и женские туалеты требуют постоянной уборки."
728,1700205:0,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,"пару ночей назад мы с бойфрендом пошли туда, чтобы отпраздновать мой день рождения, и я могу сказать, что это была грандиозная свадьба."
729,1700205:1,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.","от великолепной икры до гостеприимной официантки, я чувствую себя членом королевской семьи и наслаждаюсь каждой секундой."
730,1700205:2,"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.","учитывая, что мы последний клиент, и после закрытия двери официант не торопил нас, чтобы мы чувствовали себя комфортно и расслабленно."
731,1700205:3,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,"Я настоятельно рекомендую икру Рассела всем, кто хочет вкусную топ - икру и прекрасное обслуживание."
732,1702257:0,Nice Family owned traditional restaurant.,хороший семейный традиционный ресторан.
733,1702257:1,Fresh ingredients and everything is made to order.,свежий пищевод и все остальное по заказу.
734,1702257:2,I was pleasantly surprised to find this gem in Hoboken.,Я был очень удивлен обнаружением этого драгоценного камня в Хобокене.
735,1702257:3,Friendly staff that actually lets you enjoy your meal and the company you're with.,дружелюбные работники могут позволить вам насладиться ужином с вашей компанией.
736,1706644:0,My friends and I were on vacation in NY and was referred to Chance by a friend.,"Мы с друзьями отдыхали в Нью - Йорке, и друзья случайно упомянули обо мне."
737,1706644:1,"I found the food to be outstanding, particulary the salmon dish I had.","Я обнаружил, что еда вкусная, особенно лосося, которую я ем."
738,1706644:2,"I also ordered the Change Mojito, which was out of this world.","Я также заказал у моджито мелочь, которая никогда не была единственной в мире."
739,1706644:3,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.","Мои друзья решили съесть рис, но на следующий день мы вновь попробуем закуски, и вкусно... не особо, но очень вкусно."
740,1706644:4,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.","ужин у нас после Тяньцзиня стоит того, потому что там круто, и музыка хорошая."
741,1706644:5,"Overall, excellent restaurant!",а вообще ресторан замечательный!
742,1707201:0,i went to utsav about a yr ago with my family.,год назад мы с семьей уехали в утсаф.
743,1707201:1,The food was good.,еда очень вкусная.
744,1707201:2,The place was nice and calm.,Здесь очень спокойно.
745,1707201:3,but the service was a bit slow.,но обслуживание немного медленное.
746,1707741:0,I work around the corner and tried it with a colleague for the first time.,"Я работал на углу, в первый раз, когда коллеги пытались."
747,1707741:1,The buffet had a nice selection.,У буфета хороший выбор.
748,1707741:2,The food was average or above including some surprising tasty dishes.,"еда вообще или выше, включая некоторые удивительные деликатесы."
749,1707741:3,Service was also very good.,обслуживание тоже хорошо.
750,1707741:4,I would go back.,Я вернусь.
751,1710746:0,I got an excellent piece of cheesecake and we had several other nice pastries.,"Я купил хороший чизкейк, и мы съели другие вкусные пирожные."
752,1710746:1,"I would recommend Roxy's for that, but not for their food.","Я порекомендую Рокси, но не их еду."
753,1710746:2,My son and his girlfriend both wanted cheeseburgers and they were huge!,"мой сын и его девушка едят сырные бургеры, и все очень!"
754,1710746:3,"But, they were too big for the bun.",Но они слишком большие для хлеба.
755,1710746:4,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.","В результате, их гамбургеры разбились в руках и разбили их, так что они не хотят есть."
756,1710746:5,Also they were $15 each!,и 15 долларов за штуку!
757,1710746:6,I had a huge pastrami sandwich on a roll.,Я съел большой бутерброд с беконом.
758,1710746:7,It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,"14 баксов за фунт говядины не плохо, но вкус не очень хороший - - Я лучше покупаю в другом месте!"
759,1713185:0,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","это место очень модно, но они забыли о самой важной части ресторана, о еде."
760,1713185:1,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.","В первые два раза, когда я заказывал здесь слишком острые блюда, я почти не могу их есть, и острый запах исчезает из их вкуса."
761,1713185:2,And the Tom Kha soup was pathetic.,Томка супов очень жалок.
762,1713185:3,If you want good authentic Thai this place is not the place to go.,"если вы хотите порядочную тайскую кухню, это место не лучшее."
763,1718513:0,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.","несколько недель назад, в субботу, мы пришли сюда пообедать, и я впечатлена здешней едой."
764,1718513:1,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.","пицца с душистым чесноком - это хорошая пицца из тонкой кожаной кожи, в которой много сыра с острым итальянским сыром, о котором я никогда не слышал."
765,1718513:2,"Conveniently located too, being right on Bedford ave.","географическое положение также удобно, прямо на Бедфорд - стрит."
766,1718513:3,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.","зона отдыха в заднем саду очень удобная, там можно увидеть их личные травы."
767,1718513:4,I will definetly be going back.,я обязательно вернусь.
768,1719567:0,We had the lobster sandwich and it was FANTASTIC.,"Мы съели сэндвич с Омаром, и это замечательно."
769,1719567:1,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.","Мой муж сказал, что он мог бы съесть еще несколько порций, которые мне очень нравятся, и даже сказал, что чипсы - это лучшее, что он когда - либо ел."
770,1719567:2,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,"Мы берем веер для аппетита, вкусный и вкусный соус."
771,1719567:3,I recommend getting a reservation even though we saw people seated without one.,"Даже если мы увидим кого - то, кто не записался, я советую вам заказать столик."
772,1719567:4,We waited at the bar and had martinis that were just right.,Мы ждали в баре и выпили бокал мартини.
773,1719567:5,We will be back.,Мы вернёмся.
774,1723402:0,love the food.,как еда.
775,1723402:1,it's the only place you can get yummy authentic japanese comfort food.,"Это единственное место, где можно купить вкусные и вкусные японские комфортные продукты."
776,1723402:2,it helps if you know what to order.,"если бы вы знали что - нибудь, это было бы полезно."
777,1723402:3,and you can't beat the prices.,и цена тоже не выше.
778,1723402:4,highly recommended.,очень рекомендую.
779,1723658:0,I've lived in NY for 5 years and this place has it all.,"я прожил в Нью - Йорке пять лет, и здесь все."
780,1723658:1,"Great food, good size menu, great service and an unpretensious setting.","вкусная еда, вкусное меню, качественные услуги и скромная окружающая среда."
781,1723658:2,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","блюда подаются очень оригинальными, очень вкусными и свежими: от бараньей колбасы, крекеров, больших креветок до изумительных мороженого с открытым сердцем (самое лучшее, что я когда - либо ела, и самое свежее)."
782,1723658:3,I'm glad I was introduced to this place and this is a rare gem in NY.,"Я рад, что меня представили в это место, и это редкая драгоценность в Нью - Йорке."
783,1726001:0,"We have tried every Thai restaurant between Atlantic Avenue and 4th Streets, and Joya is the best.","Мы пробовали все тайские рестораны между Атлантик авеню и четвертой авеню, Джоя была лучшей."
784,1726001:1,"The freshest, best variety, and the fastest delivery.","самые свежие, самые лучшие сорта, доставка самая быстрая."
785,1726001:2,Also very inexpensive.,и дешево.
786,1726001:3,A great choice at any cost and a great deal.,"Отличный выбор, любой ценой."
787,1726427:0,The service was excellent and the food was delicious.,"хорошее обслуживание, вкусная кухня."
788,1726427:1,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","мы очень особенно подходим к суши, и мы все очень любим различные варианты, в том числе: смесь чевичей (особенно), крабовые пельмени, рыбу, суши и рулоны, два спиртных напитка и бананы тяньцжоу."
789,1726427:2,"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.","Вообще, этот ресторан дороже, чем наши любимые суши, но все очень вкусное."
790,1726427:3,Definitely a great spot for a nice occasion or date.,абсолютно хорошее место для свидания или для свидания.
791,1726473:0,"Average to good Thai food, but terrible delivery.","обычно это хорошая тайская кухня, но доставка плоха."
792,1726473:1,I've waited over one hour for food.,Я ждал больше часа с едой.
793,1726473:2,They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,"когда я позвонила им, они очень грубо обращались со мной и утверждали, что еда была позже, потому что у них не было риса."
794,1726473:3,A Thai restaurant out of rice during dinner?,ужин в тайском ресторане без риса?
795,1726473:4,"The food arrived 20 minutes after I called, cold and soggy.","еда будет доставлена через 20 минут после моего звонка, и она будет холодной и влажной."
796,1727363:0,i actually feel like i should keep it a secret.,"Я чувствую, что должен хранить секреты."
797,1727363:1,This is a wonderful place on all stand points especially value ofr money.,"это хорошее место, особенно для денег."
798,1727363:2,An excellent service,прекрасное обслуживание
799,1728733:0,Went to Cafe Spice with 4 of my friends on a saturday night.,"в субботу вечером четверо моих друзей пошли в кафе ""спис""."
800,1728733:1,We were greeted promptly by the waiter who was very nice and cordial.,вскоре официант поздоровался с нами. он был очень приветливый.
801,1728733:2,She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.,"Потому что мы ничего не знаем о индийской кухне, она также заказала нам много вкусных блюд."
802,1728733:3,We were fast to order the appetizer platter since we were very hungry.,"Мы скоро закажем закуску, потому что очень голодны."
803,1728733:4,The food looked very appetizing and delicious since it came on a variety of fancy plates.,"пища выглядит аппетитной и вкусной, потому что она доставляется из разных фасонных блюд."
804,1728733:5,We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,"Наконец, мы по рекомендации официанта съели варенье гураба (десерт)."
805,1728733:6,I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,"Я благодарен за то, что порекомендовал мне друга этого ресторана, который обязательно порекомендует другим."
806,1730014:0,"I went here with a friend on a whim, we went someplace else first and couldn't get a table.","я вдруг подумал, что поеду сюда с другом. сначала мы куда - нибудь идем и не можем найти стол."
807,1730014:1,"Service here was great, food was fantastic.","обслуживание здесь великолепное, еда тоже замечательная."
808,1730014:2,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.","соус авокадо + икра с креветочными желудками действительно здорово, мы все ели филе бифштекс, очень хороший, не очень люблю добавлять жареные продукты, но Филли слишком хорошо, нам все равно."
809,1730014:3,Will absolutely visit again.,обязательно приду.
810,1730014:4,Maybe tomorrow ;-),Может завтра; -)
811,1730127:0,You cannot go wrong with this place.,Ты не можешь исправить это место.
812,1730127:1,"The food is outstanding and the service is quick, friendly and very professional.","еда хорошая, быстрая, горячая, очень профессиональная."
813,1730127:2,"Always a nice crowd, but never loud.","всегда хорошая толпа, но не шуметь."
814,1730127:3,Go here.,Иди сюда.
815,1730127:4,Good for dates or with friends.,для свиданий или друзей.
816,1730447:0,I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,"Я не хочу писать, потому что не хочу, чтобы моя пицца была переполнена."
817,1730447:1,"However, it is jus too good to not praise it.",но не восхвалять его слишком хорошо.
818,1730447:2,"By far, the best pizza in Manhattan.",лучшая пицца на Манхэттене.
819,1730447:3,"The crust is thin, the ingredients are fresh and the staff is friendly.","кожа тонкая, состав свежий, дружелюбный персонал."
820,1730447:4,"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.","для всех бездельников, которые не хотят приезжать в город писем, я сказал, прекрасно, не приезжай."
821,1730447:5,less wait time for me!,не ждите меня!
822,1746113:0,We arrived on time for our reservation and seated promptly.,Мы пришли вовремя к намеченному месту и быстро заняли свои места.
823,1746113:1,The menu has so many fish items and oysters.,в меню много рыбы и устриц.
824,1746113:2,We all ordered different entrees so we could share.,"Мы все заказали разные блюда, чтобы мы могли их разделить."
825,1746113:3,"The fish was really,really fresh.","Эта рыба очень, очень свежая."
826,1746113:4,I lived in Maine for ten years and grew up on fish.,я прожил десять лет в Мэне.
827,1746113:5,We all agreed that mare is one of the best seafood restaurants in New York.,"Мы все согласились, что Марли - один из лучших ресторанов морепродуктов в Нью - Йорке."
828,1748813:0,I stumbled upon this great pizzeria as I explored my new neighborhood.,"когда я исследовал моего нового соседа, я наткнулся на замечательную пиццерию в этом доме."
829,1748813:1,All of the pizzas are terrific and the price is even better!,"Все пиццы великолепны, цена выше!"
830,1748813:2,I highly recommend the Sophia pizza.,Я настоятельно рекомендую Софию пиццу.
