,sentence_id,en,es
476,1448587:2,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","Pedimos un branzino especial, lleno de huesos, que era horrible."
477,1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.","La decoración de este lugar es muy restaurante, es el tipo de lugar que esperabas en la aldea este - No romántico, sólo sencillo, pequeño y poco común."
478,1448587:4,Problem is nothing at Prune is particularly memorable.,El problema es que en plain no hay nada que no recuerde.
479,1448587:5,No plans to return anytime soon.,No pienso volver pronto.
480,1451107:0,This place is so much fun.,Este lugar es muy interesante.
481,1451107:1,Our family never expected such incredible entertainment in a restaurant.,Nuestra familia nunca había imaginado que en un restaurante habría tanta actividad recreativa increíble.
482,1451107:2,This place must have cost the owners afortune to build.,Los dueños de este lugar deben haber gastado mucho dinero antes de construirlo.
483,1451107:3,I think the stuff was better than Disney.,Creo que es mejor que Disney.
484,1451107:4,Our food was great too!,¡Nuestra comida también es buena!
485,1451107:5,And really large portions.,Y mucho.
486,1451107:6,The staff was the friendliest that have seen in New York.,El personal es la persona más amable que ha conocido Nueva York.
487,1451107:7,We will go back every time we are in the City.,Siempre volvemos a la ciudad.
488,1451109:0,If you want something really different than try Jekyll and Hyde.,Si lo que quieres es realmente diferente a Jekyll y Hyde.
489,1451109:1,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,El entretenimiento en vivo y todo tipo de efectos Disney lo hacen divertido.
490,1451109:2,The food was pretty tradional but it was hot and good with large portions.,"La comida es tradicional, pero es picante, está buena y tiene una gran importancia."
491,1451109:3,I highly recommend it.,Te recomiendo encarecidamente.
492,1451109:4,I am going to the mid town location next.,Voy al Centro de la ciudad.
493,1457607:0,The place is a lot of fun.,Este lugar es interesante.
494,1457607:1,My six year old loved it.,A mi hijo de seis años le encantaba.
495,1457607:2,The characters really make for an enjoyable experience.,El personaje fue una experiencia muy agradable.
496,1457607:3,"The food however, is what one might expect.","Sin embargo, la alimentación es lo que se espera."
497,1457607:4,It is very overpriced and not very tasty.,Es demasiado caro y no está muy bueno.
498,1457607:5,"However, I think Jeckll and Hydes t is one of those places that is fun to do once.","Sin embargo, creo que jacquel y Hyde son uno de los lugares más interesantes para hacerlo una vez."
499,1457607:6,We had a good time.,Nos divertimos mucho.
500,1459569:0,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,"Mi esposa y yo fuimos allí y tuvimos que esperar a una mesa, a pesar de que se podía ver que había mucho espacio y suspiraba sin reservas."
501,1459569:1,Service was slow had to wait to order and get food although not crowded.,"El servicio es lento y, aunque no está abarrotado, debe esperar a que se ordene la comida."
502,1459569:2,Drinks way over priced.,El precio de las bebidas es demasiado alto.
503,1459569:3,Food was good not great not worth the wait or another visit,"La comida es buena, no es buena, no vale la pena esperar o volver a visitarla."
504,1460715:0,Great pizza for lunch place.,Buena pizza para el almuerzo.
505,1460715:1,Service was quick.,El servicio es rápido.
506,1460715:2,The pizza was great.,La pizza es buena.
507,1460715:3,And it was quick which is very important.,"Y pronto, eso es importante."
508,1460715:4,Have the iced tea.,Té helado.
509,1460715:5,It was wonderful.,Fantastico!
510,1470286:0,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.","Siempre que necesites sushi, mitzu te proporcionará un pescado de calidad y un servicio de calidad."
511,1470286:1,Delivery is fast too.,La entrega es rápida.
512,1470286:2,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.","Servicio entusiasta, asiento rápido, entrega rápida, sushi bien."
513,1470286:3,A little overpriced but worth it once you take a bite.,"Es un poco caro, pero vale la pena un bocado."
514,1470334:0,"Growing up in NY, I have eaten my share of bagels.",Crecí en Nueva York y comí mi parte de los bagels.
515,1470334:1,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,Es - A - bagel (sity Town o Midtown) es actualmente el mejor bagel de Nueva York.
516,1470334:2,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.","Los bagels siempre son cálidos, suaves dentro, crujientes afuera, enormes."
517,1470334:3,They have a huge selection of different cream cheeses and all of their salads are great.,Tienen todo tipo de queso crema y toda la ensalada es buena.
518,1470334:4,The lox is always fresh too.,El oxígeno líquido siempre está fresco.
519,1470334:5,Highly recommended to all!,¡Muy recomendable para todos!
520,1471273:0,I have to agree with the previous reviewer.,Estoy de acuerdo con los comentaristas anteriores.
521,1471273:1,I don't get it either.,No lo entiendo.
522,1471273:2,Not impressed with the food.,No me gusta la comida.
523,1471273:3,Prices too high for this cramped and unappealing resturant.,El precio es demasiado alto para este pequeño y poco atractivo restaurante.
524,1471273:4,Zero ambiance to boot.,Cero ambiente activado.
525,1476493:0,I thought this place was totally overrated.,Creo que este lugar está sobrevalorado.
526,1476493:1,Everything we had was good or ok....but definitely nothing great.,Todo lo que tenemos es bueno o bueno... Pero nada bueno.
527,1476493:2,"The ambience was nice, but service wasn't so great.",Se abre en una nueva ventana o pestaña
528,1476493:3,"When you add it all together, it just doesn't seem worth it to me...especially considering the prices.","Cuando las pones juntas, no me parece que valga la pena... Especialmente considerando el precio."
529,1477631:0,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,Este es el mejor restaurante de buffet del Estado.
530,1477631:1,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,"Viví siete años en Japón, y la comida y el restaurante se sentían como en Japón."
531,1477631:2,Thius is a must for anyone who loves Shabu-Shabu.,Thius es esencial para los que hacen el tonto.
532,1486041:0,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.","No es nada especial, pero se siente como un restaurante de sushi en Tokio."
533,1486041:1,The owner and staff are all Japanese as well and that adds to the entire ambiance.,"Los tenderos y empleados son japoneses, lo que aumenta el ambiente."
534,1486041:2,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","Aunque los menús son un poco restrictivos, todas las cosas preparadas son perfectas, muy frescas, una obra de arte gastronómico."
535,1486041:3,I must give it Yon out of Yon stars!,¡Tengo que darte esto de tu estrella!
536,1486041:4,Taxan delicious!,¡Tarzán está bueno!
537,1486041:5,Arigato Gozimas Yuka!,¡Arigatou gozimas yuca! No!
538,1490757:0,"This restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!","¡El restaurante fue recomendado por la gente local... De hecho, nos reservó una habitación y dijo que no nos decepcionaría!"
539,1490757:1,We weren't!,¡No lo hicimos!
540,1490757:2,The prices were CHEAP compared to the quality of service and food.,Los precios son más bajos que la calidad de los servicios y los alimentos.
541,1490757:3,"We liked it so much, that we will always make it a point to dine here when we visit New York.","Nos gusta mucho estar aquí, así que cuando visitemos Nueva York, comamos aquí."
542,1496205:0,Went there for an office lunch.,Fui a almorzar a la Oficina.
543,1496205:1,The location and ambience is Ok but the food is what makes up for it.,"La ubicación geográfica y el medio ambiente están bien, pero la comida lo compensa."
544,1496205:2,There is a lot of variety even for people who eat vegetarian like me.,Incluso los vegetarianos como yo tienen muchas clases.
545,1496205:3,Try green curry with vegetables.,Pruebe el Curry verde con verduras.
546,1496205:4,"The quantity is also very good, you will come out satisfied.","La cantidad también es buena, te gustará."
547,1496205:5,"The service is ok, some of the people didn't get what they asked for.","El Servicio está bien, algunas personas no tienen lo que quieren."
548,1496707:0,I was there on sat. for my birthday and we had an excellent time.,El sábado cumplí años allí y nos divertimos mucho.
549,1496707:1,I had the best ravioli ever.,Comí los mejores ravioles italianos.
550,1496707:2,The wine the service was very good too.,El Servicio de bebidas también es bueno.
551,1496707:3,Moderate prices.,Precio razonable.
552,1496707:4,A little noise but I think that was because of our party!,"¡Un poco ruidoso, pero creo que es por nuestra fiesta!"
553,1500453:0,Molto bene!,¡Moto Benny!
554,1500453:1,This quaint and romantic trattoria is at the top of my Manhattan restaurant list.,Este es uno de mis restaurantes más románticos de Manhattan.
555,1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","Aquí la comida es deliciosa, desde la comida especial hasta la comida ordinaria, que nunca decepciona a nadie."
556,1500453:3,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.","Ya sea el merengue de palmesia portini o el cordero aromatizado con vinagre, un solo bocado te llevará al norte de Italia."
557,1500453:4,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.","Aunque la Mesa puede estar muy cerca, se compensa en exceso con velas, calidad de los alimentos y servicios."
558,1500453:5,A guaranteeed delight!,"¡Feliz, prometido!"
559,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","Durante los últimos 13 años, he aprendido el secreto de que Emilio, el padrino, sigue proporcionando a los dioses alimentos y vino a precios muy bajos."
560,1506491:1,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.","Si vas, prueba la mermelada marina / arabita, el Queso mozzarella es mmmm.Todo está delicioso."
561,1506491:2,Check out the secret back room.,Mira la cámara secreta.
562,1506491:3,Old school meets New world.,La vieja escuela recibe al nuevo mundo.
563,1506491:4,I pray it stays open forever.,Rezo por que siempre esté abierto.
564,1506491:5,Thank You Emilio.,"Gracias, Emilio."
565,1506491:6,Ciao Bella,Adiós bella.
566,1538149:0,"I found the food, service and value exceptional everytime I have been there.","Cada vez que voy allí, pienso que la comida, el servicio y el valor son especiales."
567,1538149:1,The food was authentic.,La comida es real.
568,1538149:2,I felt as though I were eating in Paris.,Creo que comí en París.
569,1538149:3,The service was excellent - friendly and attentive.,"Muy buen servicio, muy amable."
570,1538149:4,The prices are wonderfully low.,Los precios son increíblemente bajos.
571,1538149:5,Very good wine choices.,Muy buena elección de vino.
572,1543345:0,I can't believe people complain about no cheese sticks?,No puedo creer que la gente se queje de la falta de quesos.
573,1543345:1,Who has room for Cheesesticks with the best pizza in NYC!,¿Quién tiene dónde comer queso y la mejor pizza de Nueva York?
574,1543345:2,Get the pepperoni - YUM - and a family style salad.,Una salchicha italiana - deliciosa - y una ensalada casera.
575,1543345:3,Great staff.,- Genial.
576,1543345:4,Always great service!,¡El servicio siempre ha sido bueno!
577,1543345:5,I go twice a month!,¡Voy dos veces al mes!
578,1543345:6,Fantastic!,Fenomenal.
579,1561259:0,"The food is good, I can't lie.","La comida es buena, no puedo mentir."
580,1561259:1,But the staff was so horrible to us.,Pero el personal es terrible para nosotros.
581,1561259:2,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,La anfitriona y la camarera son muy groseras y hacen todo lo posible por echarnos.
582,1561259:3,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,"Íbamos a comprar el postre, pero el camarero ya nos había dado la cuenta antes de que pudiéramos pedir la comida."
583,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","Este lugar es caro, sí, la comida vale la pena, pero el servicio te hace pensar que debes pagar una cuarta parte del precio."
584,1561259:5,Save yourself the time and trouble and skip this one!,"¡Ahórrate el tiempo y los problemas, salta esta!"
585,1572027:0,I'll keep this short.,Quisiera ser breve.
586,1572027:1,Amma is nothing special.,Ama no es especial.
587,1572027:2,The two star chefs left quite some time ago to open their own place.,Estos dos chefs famosos se fueron hace mucho tiempo para abrir su propia tienda.
588,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,Comí aquí hace una semana y me di cuenta de que la mayoría de los platos eran ordinarios y muy caros.
589,1572027:4,Will not be back.,No volverá.
590,1572033:0,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.","No comas vegetariano en tamarindo, no cumplen las normas no vegetarianas."
591,1572033:1,Decor is nice though service can be spotty.,"La decoración es buena, pero el servicio puede no ser bueno."
592,1572033:2,This place is always packed.,Este lugar siempre está lleno.
593,1572033:3,I know because I live nearby.,Lo sé porque vivo cerca.
594,1572033:4,"Most importantly, food is excellent.",Lo más importante es que la comida es buena.
595,1572033:5,Try the sea bass.,Prueba la perca.
596,1572033:6,Highly recommended.,Muy recomendable.
597,1573534:0,First of all Dal Bukhara Rocks.,"Primero, las rocas de Darfur."
598,1573534:1,As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by. ,"Como estudiante de la Universidad de Nueva York, necesito un lugar para comer después de un día duro, así que normalmente voy a cualquier restaurante indio cercano."
599,1573534:2,but ive heard a lot about this for the past 2 yrs and finally decided to eat here.,Pero en los últimos dos años he oído mucho de esto y he decidido comer aquí.
600,1573534:3,I am happy i did the food was awsome.,Comí algo que me hacía feliz.
601,1573534:4,JUST AWSOME.,Es terrible.
602,1573534:5,and yes Dal Bukhara is so dam good and so are all the kababs.,"Sí, dalbujará y todos los kabkabu están bien."
603,1573534:6,They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,"Abrieron dos lugares más y vi un volante, uno en yankers, otro en el Salón y el Salón de banquetes y el otro en parsipani, Nueva Jersey."
604,1573534:7,but overall i give it a 10,"Pero en general, yo juego 10 puntos."
605,1573534:8,10,10
606,1577714:0,I haven't been to the other locations.,No he estado en ningún otro lugar.
607,1577714:1,Haru on Park S is simply disgusting.,Haru en el parque S. es asqueroso.
608,1577714:2,The fish was not fresh and the rice tasted old and stale.,"El pescado no es fresco, el arroz es viejo y fresco."
609,1577714:3,"Quite frankly, this is some of the worst sushi I have ever tried.","Francamente, es el peor sushi que he comido."
610,1577714:4,Will never be back.,No volverá nunca.
611,1586174:0,honestly the worst sushi my husband and i had in our entire lives.,"Honestamente, este es el peor sushi que he comido en mi vida con mi esposo."
612,1586174:1,"believe us, we've been eating sushi for over 15 yrs.","Créeme, llevamos más de 15 años comiendo sushi."
613,1586174:2,not sure why this restaurant would be rated that highly.,Me pregunto por qué este restaurante es tan alto.
614,1586174:3,the all-u-can-eat sushi is definitely in very poor quality.,El sushi es de mala calidad.
615,1586174:4,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ","Menús limitados, no tan frescos como los ingredientes, los filetes de pescado, los escombros."
616,1586174:5,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ","Lo único que realmente puedes saborear es la salsa de soja muy salada (o incluso el bajo sodio), el arroz en vinagre y la cebolla en el pescado."
617,1586174:6,the waitstaffs are nice though.,Pero el camarero es bueno.
618,1586174:7,wont come back again for sure!,¡No va a volver!
619,1603698:0,I have been to Roth's twice and both times were very disappointing.,"He estado en casa de Ross dos veces, y dos veces fue decepcionante."
620,1603698:1,Once for dinner and once for brunch.,Una es la cena y la otra el almuerzo.
621,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.","En ambas ocasiones me decepcionó mucho el servicio, y fue muy grosero."
622,1603698:3,They wouldnt even let me finish my glass of wine before offering another.,Ni siquiera me dejan terminar un trago y tomar otro.
623,1603698:4,Much of the time it seems like they do not care about you.,A veces parece que no les importas.
624,1603698:5,"The dinner was ok, nothing I would have again.","La cena está bien, no quiero más."
625,1603698:6,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","Comí sus huevos en el desayuno, Benedict, que fue la peor vez en mi vida, y traté de quitar la Salsa holandesa por completo, pero Fracasé."
626,1606837:0,This was a great surprise.,Es una sorpresa.
627,1606837:1,With the theater 2 blocks away we had a delicious meal in a beautiful room.,"A dos cuadras del teatro, comimos una comida deliciosa en una hermosa habitación."
628,1606837:2,The service was attentive.,Muy servicial.
629,1606837:3,I look forward to eating here again,Estoy deseando volver a comer aquí.
630,1609375:0,Planet Thai is great!,¡El planeta tailandés es increíble!
631,1609375:1,"We love the food, drinks, and atmosphere!","¡Nos gusta la comida, las bebidas y el ambiente!"
632,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","¡SVC a veces es un poco grosero, especialmente si tienes mucha gente, pero en general el restaurante es necesario!"
633,1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!",Prueben la comida tailandesa. Es increíble. Y su precio es muy bajo.
634,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!","¡Porque es barato no significa que sea pequeño o que la comida sea mala, es buena!"
635,1609375:5,"Just remember, the later you go, the longer you may have to wait.","Recuerda, cuanto más tarde caminas, más tiempo esperas."
636,1609375:6,It's popular w/the late crowd.,"Es muy popular, con la gente muerta."
637,1611489:0,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.","Se les olvidó el sándwich, no el tenedor de plástico ni el jamón."
638,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","Además, estos sándwiches (cerca de 7 dólares) no parecen papas fritas ni fideos."
639,1611489:2,"Overall, not worth the money.","En general, no vale la pena."
640,1611489:3,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","Comer en casa es muy bueno, pero en tu escritorio es una experiencia muy decepcionante."
641,1615322:0,I love Indian food and consider myself to be quite an expert on it.,Me gusta la comida india y me considero un experto en eso.
642,1615322:1,Chennai Garden is my favorite Indian restaurant in the city.,Kinnai Garden es mi restaurante hindú favorito.
643,1615322:2,They have authentic Indian at amazin prices.,Tienen la verdadera comida india a un precio increíble.
644,1615322:3,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,"Este restaurante es vegetariano, no hay platos de carne."
645,1615322:4,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"Si te sientas contra la pared en un banco, el asiento se pondrá incómodo."
646,1615322:5,It's a rather cramped and busy restaurant and it closes early.,El restaurante estaba bastante abarrotado y ocupado y había cerrado muy temprano.
647,1623276:0,Patroon features a nice cigar bar and has great staff.,Las características de patalon son un buen bar de cigarros y un gran empleado.
648,1623276:1,The food is tasty and portion sizes are appropriate.,La comida es sabrosa y moderada.
649,1623276:2,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"Si quieres encontrar un buen lugar para una cena íntima con un socio de negocios, este es un buen restaurante."
650,1623276:3,Not a great place for family or general dining.,No es un buen lugar para la familia ni para la comida en general.
651,1626564:0,LLOOVVE THIS PLACE.,Me encanta este lugar.
652,1626564:1,Food is excellent.,La comida está buena.
653,1626564:2,Fish is so very fresh.,El pescado está fresco.
654,1626564:3,Waitstaff are very friendly.,El camarero es muy amable.
655,1626564:4,Love YUKA.,Aiyuca.
656,1632445:0,Mermaid Inn is an overall good restaurant with really good seafood.,"El hotel sirena es un buen restaurante en general, con mariscos muy buenos."
657,1632445:1,The menu is limited but almost all of the dishes are excellent.,"El menú es limitado, pero casi todos los platos son buenos."
658,1632445:2,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,"Los sándwiches de langosta son buenos, y los espaguetis con mariscos y camarones también."
659,1632445:3,The service is good and ambience is good for a date or group outing.,El servicio es bueno y el entorno es adecuado para citas o viajes en grupo.
660,1632445:4,The only fallback on this restaurant is the prices.,El único retroceso en este restaurante es el precio.
661,1632445:5,"Even though its good seafood, the prices are too high.","Aunque los mariscos son buenos, su precio es muy alto."
662,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"Un sándwich de langosta cuesta 24 dólares, aunque es bueno, no es suficiente para garantizar el precio."
663,1632929:0,Went to Village last night for my birthday.,Anoche fui al pueblo a celebrar mi cumpleaños.
664,1632929:1,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.","Lo elegimos al azar, sin ninguna recomendación, así que no sabemos qué va a pasar."
665,1632929:2,We were very pleasantly surprised.,Estamos muy sorprendidos.
666,1632929:3,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.","La comida es deliciosa (tengo un precio especial para el lenguado, mi marido tiene un filete de ternera) y muy buena."
667,1632929:4,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","Cuando llegó mi postre, había una vela, no porque alguien la quisiera, sino porque el camarero debió verme abrir la tarjeta de cumpleaños y los regalos y dijo que sabía que era una ocasión especial."
668,1632929:5,Truly the mark of an attentive waiter.,Es la marca de un mesero muy atento.
669,1632929:6,I highly recommend the restaurant based on our experience last night.,"Sobre la base de nuestra experiencia de anoche, recomiendo enérgicamente este restaurante."
670,1642666:0,We ate at this Thai place following the reviews but very unhappy with the foods.,"Hemos comido algunos comentarios en este restaurante tailandés, pero no estamos satisfechos con la comida."
671,1642666:1,We thought that this place is using too much of MSG cooking in the foods.,Creíamos que este lugar usaba demasiados sabores en la comida.
672,1642666:2,Why?,¿Por qué?
673,1642666:3,"They don't concern much of customer's health, just want to make money.","No les importa la salud de los clientes, sólo quieren ganar dinero."
674,1642666:4,please don't fool us.,No nos mientas.
675,1649025:0,I visit New Green Bo when I have money or when I am broke.,"Cuando tengo dinero o estoy en bancarrota, voy a visitar a nuevo verde Bo."
676,1649025:1,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.","Recomiendo medusas, pollos borrachos y sopa, y, por supuesto, cangrejos fritos."
677,1649025:2,The food is so cheap and the waiters are nice.,La comida es barata y los camareros son buenos.
678,1649025:3,"Of course, it is crowded but who cares.","¿Por supuesto, hay mucha gente aquí, pero a quién le importa?"
679,1649025:4,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,"El verdadero estilo Shanghai, no puedo recomendar un mejor Shanghai en Nueva York."
680,1655504:0,Have frequented 'ino for several years and the food remains excellent.,He estado frecuentando a lino durante años y la comida sigue siendo buena.
681,1655504:1,Cheese plate is a varied delight and great bargain at $10.,Los quesos son una variedad de diversión y un gran precio de 10 dólares.
682,1655504:2,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","Un montón de bruschettas, paninis, tramezzinis, para que tu gusto no se estanque."
683,1655504:3,"(The asparagus, truffle oil, parmesan bruschetta is a winner!)","¡Espárragos, aceite de trufa, queso Parma son ganadores!"
684,1655504:4,Wine list is extensive without being over-priced.,El vino es rico y no caro.
685,1655504:5,"Be sure to try the seasonal, and always delicious, specials.",Hay que probar algo estacional y siempre delicioso.
686,1655504:6,Definitely a neighborhood favorite.,Definitivamente es el favorito de los vecinos.
687,1655521:0,I loved this place!!,¡Me gusta este lugar!
688,1655521:1,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"Apenas me atrevo a escribir comentarios, porque el ambiente es demasiado bueno y no quiero que se congele."
689,1655521:2,"The food was very good, a great deal, and the place its self was great.","La comida es buena, mucha, y el lugar es bueno."
690,1655521:3,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.",Los camareros son muy educados y te hacen sentir como si estuvieras comiendo en un pueblo europeo extraño.
691,1660047:0,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!","¡Me gusta el café negro, no me malinterpretes, pero la gente que trabaja allí es malvada e incompetente!"
692,1660047:1,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.","El servicio es terrible, tenemos que esperar todo y pedir a varias personas diferentes que hagan lo mismo antes de que podamos ser servidos."
693,1660047:2,"The waitress, seems to be more concerned of looking good than actually waitressing.","La camarera, parece más preocupada por la belleza que por el verdadero camarero."
694,1660047:3,"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.","Después de la cena, el gerente agarró a mi novio y le preguntó: De dónde eres... Tal vez no sabes cómo es América... Y al final, casi lloró y dijo que la propina era lo único que les quedaba para sobrevivir."
695,1660047:4,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",Creo que las modelos / camareras sólo quieren más propina y se quejan con el gerente.
696,1660047:5,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.","Todo el diseño es muy poco profesional, y espero que el café negro tenga algunos buenos empleados, aunque ahora es un buen lugar."
697,1661043:0,Pizza here is consistently good.,La pizza siempre está buena.
698,1661043:1,Salads are a delicious way to begin the meal.,La ensalada es una buena manera de comer.
699,1661043:2,You should pass on the calamari.,Deberías pasar el calamar.
700,1661043:3,It is thick and slightly soggy.,Es un poco grueso y húmedo.
701,1661043:4,Decor is charming.,La decoración es fascinante.
702,1661043:5,Service is average.,Servicios generales.
703,1661757:0,What a great place.,Qué lugar tan bonito.
704,1661757:1,I came into the city to try out this restaurant because a friend had recommended it to my husband.,"Vine a la ciudad para probar este restaurante, que un amigo había recomendado a mi marido."
705,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","El ambiente es interesante, el precio es alto y la comida es realmente buena."
706,1661757:3,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.","No quiero esperar 30 minutos en Internet, pero creo que ese es el precio que pagas por un lugar popular."
707,1661757:4,I would definitely recommend SEA if you like thai cuisine!,"¡Si te gusta la comida tailandesa, recomiendo los mariscos!"
708,1662726:0,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,"Hace unas semanas estuve aquí, en el restaurante tuvimos la peor experiencia de servicio al cliente de la historia."
709,1662726:1,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.","Un señor, tal vez el gerente, vino a nuestra mesa sin siquiera darnos una sonrisa o un saludo."
710,1662726:2,"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently ","Cuando se le preguntó cómo se preparaba un plato en comparación con el de otros restaurantes tailandeses, respondió que no era McDonald 's y que las prácticas variaban de un lugar a otro."
711,1662726:3,"While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.","Aunque es comprensible que cada lugar sea diferente, no hay necesidad de ser descortés ni descortés con los clientes."
712,1662726:4,"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.","El servicio es muy malo, el restaurante no tiene mucha luz, el personal no presta mucha atención, prefiero comer en McDonald 's que en este restaurante."
713,1662726:5,Never again!,¡Ya no más!
714,1663111:0,I absolutely Loved this place.,Me gusta mucho este lugar.
715,1663111:1,"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",Mis amigos han estado hablando durante meses y por fin he tenido tiempo de venir a cenar.
716,1663111:2,"Excellent atmosphere, delicious dishes good and friendly service.","El ambiente es excelente, la comida es buena y el servicio es cordial."
717,1663111:3,this is can became on e of the NY Italian Food fare institutions.,Esto podría convertirse en un centro de gastronomía italiano en el distrito e de Nueva York.
718,1663111:4,I think that it is absolutely brilliant and well runned business operation.,Creo que es absolutamente brillante y funciona bien.
719,1663111:5,The wine list is also really nice.,El vino también es bueno.
720,1664346:0,A friend from Seattle and I went on a Thursday night around 8:30.,Un amigo de Seattle y yo fuimos el jueves a las 8: 30 p.m.
721,1664346:1,"Everything was wonderful; food, drinks, staff, mileau.","Todo está bien, comida, bebidas, empleados, Milo."
722,1664346:2,I would highly recommend this place!,¡Recomiendo este lugar!
723,1671113:0,I have been to Casimir over 5 times and I have always had a great time there.,"He estado en kasimir cinco veces, y allí he sido feliz."
724,1671113:1,The food is great and reasonably priced.,La comida es buena y asequible.
725,1671113:2,"I have tried to make reservations, but both times, the hostess didn't have my name.","Traté de reservar una habitación, pero no tenía mi nombre en ninguna de las dos ocasiones."
726,1671113:3,"If the weather is nice, try to snag an outside table.","Si hace buen tiempo, intente encontrar una mesa afuera."
727,1671113:4,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","El personal es bueno, pero parece estar bajo mucha presión, y los baños comunes a hombres y mujeres requieren una limpieza constante."
728,1700205:0,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,"La otra noche fui allí con mi novio para celebrar mi cumpleaños, y puedo decir que fue una gran boda."
729,1700205:1,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.","Desde el gran caviar hasta la hospitalidad del camarero, me siento como un miembro real, disfrutando cada segundo."
